system,load,request_id,planned_offset_s,actual_send_s,ttft_s,e2el_s,completed_s,input_length,success,error,prompt_tokens_match
afd_mbt65536,1x,formal-1-000214,69.001,69.005688,2.993913,2.993947,71.999635,2402,True,,True
afd_mbt65536,1x,formal-1-000215,69.001,69.002026,0.985139,0.985176,69.987202,5769,True,,True
afd_mbt65536,1x,formal-1-000216,69.001,69.002151,1.809935,1.809995,70.812147,13558,True,,True
afd_mbt65536,1x,formal-1-000217,69.001,69.00299,2.366044,2.366086,71.369076,1311,True,,True
afd_mbt65536,1x,formal-1-000218,72.0,72.004327,5.347987,5.348034,77.352361,949,True,,True
afd_mbt65536,1x,formal-1-000219,72.0,72.004157,3.364252,3.364314,75.368471,1258,True,,True
afd_mbt65536,1x,formal-1-000220,72.0,72.004443,4.190727,4.190761,76.195203,1459,True,,True
afd_mbt65536,1x,formal-1-000221,72.0,72.004878,4.189592,4.189625,76.194503,9110,True,,True
afd_mbt65536,1x,formal-1-000222,72.0,72.003501,6.764785,6.764835,78.768336,39061,True,,True
afd_mbt65536,1x,formal-1-000223,72.0,72.001778,5.350764,5.350805,77.352583,1241,True,,True
afd_mbt65536,1x,formal-1-000224,72.0,72.004012,4.190959,4.191012,76.195023,2073,True,,True
afd_mbt65536,1x,formal-1-000225,72.0,72.001438,4.907467,4.907511,76.908949,907,True,,True
afd_mbt65536,1x,formal-1-000226,72.0,72.006542,4.188193,4.188244,76.194786,6831,True,,True
afd_mbt65536,1x,formal-1-000227,72.0,72.000949,1.016064,1.016103,73.017052,3063,True,,True
afd_mbt65536,1x,formal-1-000228,72.0,72.003104,3.365508,3.365561,75.368665,13410,True,,True
afd_mbt65536,1x,formal-1-000229,72.0,72.002969,3.669974,3.67,75.672969,14672,True,,True
afd_mbt65536,1x,formal-1-000230,72.0,72.001157,4.907467,4.907506,76.908664,6471,True,,True
afd_mbt65536,1x,formal-1-000231,72.0,72.00265,3.670039,3.670078,75.672728,6224,True,,True
afd_mbt65536,1x,formal-1-000232,72.0,72.001941,1.193033,1.193076,73.195017,5416,True,,True
afd_mbt65536,1x,formal-1-000233,72.0,72.00387,3.668923,3.668956,75.672826,1340,True,,True
afd_mbt65536,1x,formal-1-000234,72.0,72.001616,3.388058,3.388084,75.3897,14133,True,,True
afd_mbt65536,1x,formal-1-000235,72.0,72.003662,3.36513,3.365167,75.368829,20611,True,,True
afd_mbt65536,1x,formal-1-000236,72.0,72.002487,4.906571,4.906616,76.909103,33543,True,,True
afd_mbt65536,1x,formal-1-000237,72.0,72.002793,5.349347,5.349385,77.352178,9905,True,,True
afd_mbt65536,1x,formal-1-000238,72.0,72.002275,3.387212,3.38726,75.389535,5795,True,,True
afd_mbt65536,1x,formal-1-000239,75.001,75.002775,3.058616,3.058648,78.061423,13670,True,,True
afd_mbt65536,1x,formal-1-000240,75.001,75.003853,5.720671,5.720713,80.724566,5075,True,,True
afd_mbt65536,1x,formal-1-000241,75.001,75.00253,2.853154,2.853184,77.855714,8341,True,,True
afd_mbt65536,1x,formal-1-000242,75.001,75.005685,3.459252,3.459297,78.464982,6685,True,,True
afd_mbt65536,1x,formal-1-000243,75.001,75.004191,3.460629,3.460671,78.464862,15588,True,,True
afd_mbt65536,1x,formal-1-000244,75.001,75.004078,2.564362,2.564403,77.568481,924,True,,True
afd_mbt65536,1x,formal-1-000245,75.001,75.003757,2.564911,2.564959,77.568716,7796,True,,True
afd_mbt65536,1x,formal-1-000246,75.001,75.007104,3.054384,3.054425,78.061529,6160,True,,True
afd_mbt65536,1x,formal-1-000247,75.001,75.003386,2.851857,2.851895,77.855282,12393,True,,True
afd_mbt65536,1x,formal-1-000248,75.001,75.002262,2.853144,2.853183,77.855444,8158,True,,True
afd_mbt65536,1x,formal-1-000249,75.001,75.00326,3.057894,3.05793,78.06119,11924,True,,True
afd_mbt65536,1x,formal-1-000250,75.001,75.006365,3.762132,3.762159,78.768523,1733,True,,True
afd_mbt65536,1x,formal-1-000251,75.001,75.003655,5.720989,5.721031,80.724687,35123,True,,True
afd_mbt65536,1x,formal-1-000252,75.001,75.003083,5.721726,5.721759,80.724842,1317,True,,True
afd_mbt65536,1x,formal-1-000253,78.001,78.002214,3.984926,3.984969,81.987183,6596,True,,True
afd_mbt65536,1x,formal-1-000254,78.001,78.003977,3.982909,3.982944,81.986921,14703,True,,True
afd_mbt65536,1x,formal-1-000255,78.001,78.003415,4.418128,4.418154,82.421569,4226,True,,True
afd_mbt65536,1x,formal-1-000256,78.001,78.003626,3.684008,3.684059,81.687685,14100,True,,True
afd_mbt65536,1x,formal-1-000257,78.001,78.005967,3.681846,3.681881,81.687848,7284,True,,True
afd_mbt65536,1x,formal-1-000258,78.001,78.00513,5.922064,5.922108,83.927238,30889,True,,True
afd_mbt65536,1x,formal-1-000259,78.001,78.001965,0.928791,0.928839,78.930804,924,True,,True
afd_mbt65536,1x,formal-1-000260,78.001,78.002432,0.953684,0.953728,78.956159,2066,True,,True
afd_mbt65536,1x,formal-1-000261,78.001,78.005496,3.703036,3.703089,81.708585,23583,True,,True
afd_mbt65536,1x,formal-1-000262,78.001,78.004551,3.703676,3.703715,81.708266,1327,True,,True
